method,k,split,item_pool,domain,accuracy,mae,nll,brier,rps
input_centric,5,ood_intersection,seen,Environment,0.35111111111111115,0.23305555555555557,1.4887517845189504,0.7783190158139203,0.1427406393979365
input_centric,5,ood_intersection,seen,Role of Government,0.4863636363636364,0.19757575757575757,1.2417397098222236,0.6469337779894012,0.13083863975717527
input_centric,5,ood_intersection,seen,Social Inequality,0.45648148148148143,0.1814814814814815,1.3445128165824316,0.6956687687862972,0.12446957038164132
input_centric,5,ood_intersection,seen,Work Orientations,0.4547169811320755,0.20754716981132076,1.3951267089959067,0.7009082676325711,0.13404654666017307
raw_mean,5,ood_intersection,seen,Environment,0.3844444444444445,0.21027777777777779,1.429428858160943,0.7409699301455263,0.13778026245526123
raw_mean,5,ood_intersection,seen,Role of Government,0.4572727272727272,0.2053030303030303,1.2937203065854999,0.6794027251987556,0.14132450986252168
raw_mean,5,ood_intersection,seen,Social Inequality,0.4277777777777778,0.18888888888888888,1.3985222344075046,0.71572071926326,0.12639317052223986
raw_mean,5,ood_intersection,seen,Work Orientations,0.44716981132075473,0.2009433962264151,1.33431721243001,0.6817185279156956,0.13019855903372907
raw_selected,5,ood_intersection,seen,Environment,0.40222222222222226,0.195,1.6317247479649521,0.7773063130398442,0.14464821722003612
raw_selected,5,ood_intersection,seen,Role of Government,0.40454545454545454,0.22818181818181815,1.4138832559447663,0.7287317838553562,0.14880192372300532
raw_selected,5,ood_intersection,seen,Social Inequality,0.3925925925925926,0.20555555555555555,1.4914586758105959,0.7688541562505212,0.13880445392422316
raw_selected,5,ood_intersection,seen,Work Orientations,0.41320754716981134,0.21485849056603773,1.4603018487330948,0.7307496950353747,0.1369642109958528
response_centric,5,ood_intersection,seen,Environment,0.3933333333333333,0.20166666666666666,1.4226676158765275,0.7350949410231014,0.13524472418778416
response_centric,5,ood_intersection,seen,Role of Government,0.45454545454545453,0.2043939393939394,1.3199974431722838,0.6894686901352435,0.1356286551780355
response_centric,5,ood_intersection,seen,Social Inequality,0.45092592592592595,0.17824074074074073,1.3552965270379203,0.7035881973522022,0.12331262136401294
response_centric,5,ood_intersection,seen,Work Orientations,0.4641509433962264,0.18584905660377357,1.3318464750141747,0.6933251618735177,0.13062871676128476
sentence,5,ood_intersection,seen,Environment,0.3966666666666667,0.20555555555555555,1.387373584568737,0.7179132617931867,0.1369307666971949
sentence,5,ood_intersection,seen,Role of Government,0.43,0.2199242424242424,1.2669312910260129,0.6740520080030282,0.14553380536184843
sentence,5,ood_intersection,seen,Social Inequality,0.4416666666666667,0.18379629629629632,1.2582687829818715,0.6659925503014995,0.1204241880894766
sentence,5,ood_intersection,seen,Work Orientations,0.4547169811320755,0.2009433962264151,1.2918730295048262,0.6692231650158131,0.13024130226325292
input_centric,5,ood_intersection,seen,macro,0.4371683025220761,0.20491499110602884,1.3675327549798781,0.7054574575555475,0.13302384904923154
raw_mean,5,ood_intersection,seen,macro,0.42916619020392605,0.20135327329902802,1.3639971528959893,0.7044529756308093,0.13392412546843796
raw_selected,5,ood_intersection,seen,macro,0.4031419541325202,0.21089896607585285,1.4993421321133522,0.751410487045274,0.14230470146577934
response_centric,5,ood_intersection,seen,macro,0.44073891430023504,0.19253760085128008,1.3574520152752265,0.7053692475960162,0.13120367937277932
sentence,5,ood_intersection,seen,macro,0.43076257861635225,0.20255487262562735,1.301111672020362,0.6817952462783818,0.1332825156029432
