item,family,found,page,definition_count,branch_risk,randomized,multiple_select,dynamic_text,raw_snippet,proxy_text,parent_fallback,item_specific_text,wave,paired_coverage,n_unique,entropy_nats
CC20_300_1,CC20_300,True,16,5,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or","CC20_300_1 [CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or",CC20_300,False,source_pre,1.0,2,0.5671056303832435
CC20_300_2,CC20_300,True,16,5,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or","CC20_300_2 [CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or",CC20_300,False,source_pre,1.0,2,0.6586569515206309
CC20_300_3,CC20_300,True,16,5,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or","CC20_300_3 [CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or",CC20_300,False,source_pre,1.0,2,0.6717298826851512
CC20_300_4,CC20_300,True,16,5,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or","CC20_300_4 [CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or",CC20_300,False,source_pre,1.0,2,0.6099030295174943
CC20_300_5,CC20_300,True,16,5,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or","CC20_300_5 [CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or",CC20_300,False,source_pre,1.0,2,0.1676950068330673
CC20_300a,CC20_300,True,16,2,False,False,True,False,"[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None varlabel: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both varlabel: None [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or both? (Allows one selection) ◯ [1] Print ◯ [2] Online","[CC20_300] {multiple} In the past 24 hours have you... (check all that apply) (Allows multiple selections) ▢ [1] Used social media (such as Facebook or Youtube) ▢ [2] Watched TV news ⎘ CC20_300a ▢ [3] Read a newspaper in print or online ⎘ CC20_300c ▢ [4] Listened to a radio news program or talk radio ▢ [5] None of these order: None [CC20_300a] {popup} Did you watch local news, national news, or both? (Allows one selection) ◯ [1] Local Newscast ◯ [2] National Newscast ◯ [3] Both [CC20_300c] {popup} Did you read a print newspaper, an online newspaper, or both? (Allows one selection) ◯ [1] Print ◯ [2] Online",,True,source_pre,0.6189598649880701,3,1.0555465506027546
CC20_300d_1,CC20_300,True,19,1,False,False,True,False,"Questionnaire [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above varlabel: None","CC20_300d_1 [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above",CC20_300d,False,source_pre,0.7456499388954627,2,0.5536344572101168
CC20_300d_2,CC20_300,True,19,1,False,False,True,False,"Questionnaire [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above varlabel: None","CC20_300d_2 [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above",CC20_300d,False,source_pre,0.7456499388954627,2,0.6171703478295699
CC20_300d_3,CC20_300,True,19,1,False,False,True,False,"Questionnaire [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above varlabel: None","CC20_300d_3 [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above",CC20_300d,False,source_pre,0.7456499388954627,2,0.674999037378852
CC20_300d_4,CC20_300,True,19,1,False,False,True,False,"Questionnaire [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above varlabel: None","CC20_300d_4 [CC20_300d] {multiple} In the past 24 hours, did you do any of the following on social media (such as Facebook, Youtube or Twitter)? shown if shown if 1 in CC20_300 (Allows multiple selections) ▢ [1] Posted a story, photo, video or link about politics ▢ [2] Posted a comment about politics ▢ [3] Read a story or watched a video about politics ▢ [4] Followed a political event ▢ [5] Forwarded a story, photo, video or link about politics to friends ▢ [6] None of the above",CC20_300d,False,source_pre,0.7456499388954627,2,0.5454881326725542
